n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,source,filter,stop,cost,data_start,data_end
180,0.5444444444444444,0.00031331527446683987,1.0610770772044498,0.009608801580572868,0.14794133225036765,0.2058371427840777,-0.14360577418088138,0.46941580756013745,-0.05756578221111006,-0.056329431589776435,45.18556701030928,Nasdaq100,ibkr_daily,A_none,stop_2pct,2x,2022-09-22,2026-09-16
180,0.5611111111111111,0.0007267369510575829,1.147205992620622,0.02814172842070506,0.32727090436070055,0.3981897752771126,-0.1822540452079625,0.46941580756013745,-0.0697806957656573,-0.01779142329415584,45.18556701030928,Nasdaq100,ibkr_daily,A_none,stop_5pct,1x,2022-09-22,2026-09-16
180,0.5444444444444444,0.00032673695105758284,1.0638605575300428,0.009731279763973255,0.14713920532740377,0.1795724827646984,-0.19304741835990102,0.46941580756013745,-0.0701806957656573,-0.02917874861647385,45.18556701030928,Nasdaq100,ibkr_daily,A_none,stop_5pct,2x,2022-09-22,2026-09-16
180,0.5611111111111111,0.0007267369510575829,1.147205992620622,0.02814172842070506,0.32727090436070055,0.3981897752771126,-0.1822540452079625,0.46941580756013745,-0.0697806957656573,-0.01779142329415584,45.18556701030928,Nasdaq100,ibkr_daily,A_none,stop_10pct,1x,2022-09-22,2026-09-16
180,0.5444444444444444,0.00032673695105758284,1.0638605575300428,0.009731279763973255,0.14713920532740377,0.1795724827646984,-0.19304741835990102,0.46941580756013745,-0.0701806957656573,-0.02917874861647385,45.18556701030928,Nasdaq100,ibkr_daily,A_none,stop_10pct,2x,2022-09-22,2026-09-16
13,0.5384615384615384,-2.2324322016346996e-05,0.9977295712386014,-0.0013875900113673456,-0.0014329943626285738,-0.0016314093857755826,-0.10411504430814467,0.02611683848797251,-0.0697806957656573,-0.007866437410650629,3.26340206185567,Nasdaq100,ibkr_daily,E_prior_close_lt_sma180,no_stop,1x,2022-09-22,2026-09-16
13,0.46153846153846156,-0.000422324322016347,0.957922872533708,-0.0026916391344110613,-0.027108925064206212,-0.03167546448313632,-0.10487220804960884,0.02611683848797251,-0.0701806957656573,-0.009059663317521616,3.26340206185567,Nasdaq100,ibkr_daily,E_prior_close_lt_sma180,no_stop,2x,2022-09-22,2026-09-16
13,0.46153846153846156,0.003465835204424321,1.5472343670996644,0.010709296120712697,0.3143542690841445,0.7914449846407994,-0.04038384000000006,0.02611683848797251,-0.02040000000000013,-0.02824645092371758,3.26340206185567,Nasdaq100,ibkr_daily,E_prior_close_lt_sma180,stop_2pct,1x,2022-09-22,2026-09-16
13,0.46153846153846156,0.0030658352044243206,1.4681557852734297,0.009394593147592722,0.27807392099571204,0.7001025014632406,-0.04116736000000021,0.02611683848797251,-0.020800000000000127,-0.029423310339393716,3.26340206185567,Nasdaq100,ibkr_daily,E_prior_close_lt_sma180,stop_2pct,2x,2022-09-22,2026-09-16
13,0.5384615384615384,-2.2324322016346996e-05,0.9977295712386014,-0.0013875900113673456,-0.0014329943626285738,-0.0016314093857755826,-0.10411504430814467,0.02611683848797251,-0.0697806957656573,-0.007866437410650629,3.26340206185567,Nasdaq100,ibkr_daily,E_prior_close_lt_sma180,stop_5pct,1x,2022-09-22,2026-09-16
13,0.46153846153846156,-0.000422324322016347,0.957922872533708,-0.0026916391344110613,-0.027108925064206212,-0.03167546448313632,-0.10487220804960884,0.02611683848797251,-0.0701806957656573,-0.009059663317521616,3.26340206185567,Nasdaq100,ibkr_daily,E_prior_close_lt_sma180,stop_5pct,2x,2022-09-22,2026-09-16
13,0.5384615384615384,-2.2324322016346996e-05,0.9977295712386014,-0.0013875900113673456,-0.0014329943626285738,-0.0016314093857755826,-0.10411504430814467,0.02611683848797251,-0.0697806957656573,-0.007866437410650629,3.26340206185567,Nasdaq100,ibkr_daily,E_prior_close_lt_sma180,stop_10pct,1x,2022-09-22,2026-09-16
13,0.46153846153846156,-0.000422324322016347,0.957922872533708,-0.0026916391344110613,-0.027108925064206212,-0.03167546448313632,-0.10487220804960884,0.02611683848797251,-0.0701806957656573,-0.009059663317521616,3.26340206185567,Nasdaq100,ibkr_daily,E_prior_close_lt_sma180,stop_10pct,2x,2022-09-22,2026-09-16
135,0.5703703703703704,0.000436760822059114,1.095894684228997,0.011975126411782888,0.1953585662921771,0.23316199238060029,-0.13309583878004372,0.3539518900343643,-0.05716578221111006,-0.0327794116391924,33.88917525773196,Nasdaq100,ibkr_daily,G_prior_close_gt_sma180_control,no_stop,1x,2022-09-22,2026-09-16
135,0.562962962962963,3.676082205911387e-05,1.0077738101001776,-0.0016494348835630612,0.01644273279671208,0.019633964556061412,-0.1424606034772805,0.3539518900343643,-0.05756578221111006,-0.04203546625775634,33.88917525773196,Nasdaq100,ibkr_daily,G_prior_close_gt_sma180_control,no_stop,2x,2022-09-22,2026-09-16
135,0.5703703703703704,0.0003373322594260415,1.0724819565260257,0.008514459760360804,0.14942473155272537,0.17814185785741954,-0.1330958387800435,0.3539518900343643,-0.05716578221111006,-0.0327794116391924,33.88917525773196,Nasdaq100,ibkr_daily,G_prior_close_gt_sma180_control,stop_2pct,1x,2022-09-22,2026-09-16
135,0.562962962962963,-6.266774057395854e-05,0.9870205621834887,-0.005064895951089721,-0.027759308665623268,-0.03310445269457221,-0.14246060347728062,0.3539518900343643,-0.05756578221111006,-0.04203546625775634,33.88917525773196,Nasdaq100,ibkr_daily,G_prior_close_gt_sma180_control,stop_2pct,2x,2022-09-22,2026-09-16
135,0.5703703703703704,0.000436760822059114,1.095894684228997,0.011975126411782888,0.1953585662921771,0.23316199238060029,-0.13309583878004372,0.3539518900343643,-0.05716578221111006,-0.0327794116391924,33.88917525773196,Nasdaq100,ibkr_daily,G_prior_close_gt_sma180_control,stop_5pct,1x,2022-09-22,2026-09-16
135,0.562962962962963,3.676082205911387e-05,1.0077738101001776,-0.0016494348835630612,0.01644273279671208,0.019633964556061412,-0.1424606034772805,0.3539518900343643,-0.05756578221111006,-0.04203546625775634,33.88917525773196,Nasdaq100,ibkr_daily,G_prior_close_gt_sma180_control,stop_5pct,2x,2022-09-22,2026-09-16
135,0.5703703703703704,0.000436760822059114,1.095894684228997,0.011975126411782888,0.1953585662921771,0.23316199238060029,-0.13309583878004372,0.3539518900343643,-0.05716578221111006,-0.0327794116391924,33.88917525773196,Nasdaq100,ibkr_daily,G_prior_close_gt_sma180_control,stop_10pct,1x,2022-09-22,2026-09-16
135,0.562962962962963,3.676082205911387e-05,1.0077738101001776,-0.0016494348835630612,0.01644273279671208,0.019633964556061412,-0.1424606034772805,0.3539518900343643,-0.05756578221111006,-0.04203546625775634,33.88917525773196,Nasdaq100,ibkr_daily,G_prior_close_gt_sma180_control,stop_10pct,2x,2022-09-22,2026-09-16
192,0.4427083333333333,-0.00047706904637429296,0.7496432706339589,-0.024012427039884376,-0.7365013619659934,-1.0725226082672257,-0.09941529151195339,0.44136460554371004,-0.015423304221910671,-0.03369220800763684,49.84221748400853,EURUSD,ibkr_daily,A_none,no_stop,1x,2022-11-09,2026-09-17
192,0.390625,-0.000877069046374293,0.5905892610565208,-0.04329121908814482,-1.3540231798775737,-1.9574148213224436,-0.1657056698160606,0.44136460554371004,-0.01582330422191067,-0.05360090034211551,49.84221748400853,EURUSD,ibkr_daily,A_none,no_stop,2x,2022-11-09,2026-09-17
192,0.4427083333333333,-0.00047706904637429296,0.7496432706339589,-0.024012427039884376,-0.7365013619659934,-1.0725226082672257,-0.09941529151195339,0.44136460554371004,-0.015423304221910671,-0.03369220800763684,49.84221748400853,EURUSD,ibkr_daily,A_none,stop_2pct,1x,2022-11-09,2026-09-17
192,0.390625,-0.000877069046374293,0.5905892610565208,-0.04329121908814482,-1.3540231798775737,-1.9574148213224436,-0.1657056698160606,0.44136460554371004,-0.01582330422191067,-0.05360090034211551,49.84221748400853,EURUSD,ibkr_daily,A_none,stop_2pct,2x,2022-11-09,2026-09-17
192,0.4427083333333333,-0.00047706904637429296,0.7496432706339589,-0.024012427039884376,-0.7365013619659934,-1.0725226082672257,-0.09941529151195339,0.44136460554371004,-0.015423304221910671,-0.03369220800763684,49.84221748400853,EURUSD,ibkr_daily,A_none,stop_5pct,1x,2022-11-09,2026-09-17
192,0.390625,-0.000877069046374293,0.5905892610565208,-0.04329121908814482,-1.3540231798775737,-1.9574148213224436,-0.1657056698160606,0.44136460554371004,-0.01582330422191067,-0.05360090034211551,49.84221748400853,EURUSD,ibkr_daily,A_none,stop_5pct,2x,2022-11-09,2026-09-17
192,0.4427083333333333,-0.00047706904637429296,0.7496432706339589,-0.024012427039884376,-0.7365013619659934,-1.0725226082672257,-0.09941529151195339,0.44136460554371004,-0.015423304221910671,-0.03369220800763684,49.84221748400853,EURUSD,ibkr_daily,A_none,stop_10pct,1x,2022-11-09,2026-09-17
192,0.390625,-0.000877069046374293,0.5905892610565208,-0.04329121908814482,-1.3540231798775737,-1.9574148213224436,-0.1657056698160606,0.44136460554371004,-0.01582330422191067,-0.05360090034211551,49.84221748400853,EURUSD,ibkr_daily,A_none,stop_10pct,2x,2022-11-09,2026-09-17
67,0.43283582089552236,-0.000755472575115225,0.6145213835458105,-0.013228188531398066,-0.7096500222896974,-0.9674222267327124,-0.061280565595589254,0.14712153518123666,-0.013607910311312076,-0.03170952142367878,17.392857142857142,EURUSD,ibkr_daily,E_prior_close_lt_sma180,no_stop,1x,2022-11-09,2026-09-17
67,0.373134328358209,-0.0011554725751152248,0.47580781303035397,-0.02007613049942414,-1.0853883591480333,-1.4738984276858362,-0.07709114761596869,0.14712153518123666,-0.014007910311312077,-0.03520230948260028,17.392857142857142,EURUSD,ibkr_daily,E_prior_close_lt_sma180,no_stop,2x,2022-11-09,2026-09-17
67,0.43283582089552236,-0.000755472575115225,0.6145213835458105,-0.013228188531398066,-0.7096500222896974,-0.9674222267327124,-0.061280565595589254,0.14712153518123666,-0.013607910311312076,-0.03170952142367878,17.392857142857142,EURUSD,ibkr_daily,E_prior_close_lt_sma180,stop_2pct,1x,2022-11-09,2026-09-17
67,0.373134328358209,-0.0011554725751152248,0.47580781303035397,-0.02007613049942414,-1.0853883591480333,-1.4738984276858362,-0.07709114761596869,0.14712153518123666,-0.014007910311312077,-0.03520230948260028,17.392857142857142,EURUSD,ibkr_daily,E_prior_close_lt_sma180,stop_2pct,2x,2022-11-09,2026-09-17
67,0.43283582089552236,-0.000755472575115225,0.6145213835458105,-0.013228188531398066,-0.7096500222896974,-0.9674222267327124,-0.061280565595589254,0.14712153518123666,-0.013607910311312076,-0.03170952142367878,17.392857142857142,EURUSD,ibkr_daily,E_prior_close_lt_sma180,stop_5pct,1x,2022-11-09,2026-09-17
